<TIMESTAMP>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1483228800,973.37,973.37,973.35,973.35,2065.5243026999997
1483228860,973.37,973.37,973.35,973.35,2065.5243026999997
1483228920,973.37,973.37,973.35,973.35,2065.5243026999997
1483228980,973.36,973.36,973.36,973.36,38.9344
1483229040,973.36,973.4,973.36,973.39,5313.529707899999
1483229100,973.35,973.39,973.35,973.38,12149.200173000001
1483229160,973.39,973.39,973.38,973.38,1456.708355
1483229220,973.38,973.39,973.38,973.38,1575.7302177000001
1483229280,973.38,973.38,971.72,972.01,13208.277206
1483229340,971.56,972.62,970.95,972.62,1256.1140765999999
1483229400,971.94,971.94,970.93,970.93,820.25846589
1483229460,970.96,971.91,970.93,970.93,6097.7028541
1483229520,970.94,971.64,970.44,970.75,6267.51916
1483229580,971.5,971.54,970.42,970.77,5482.8853742
1483229640,970.77,971.39,970.42,970.42,777.79868864
1483229700,970.42,971.18,970.02,971.18,1175.4049859000002
1483229760,970.47,970.87,969.91,969.92,6031.064266699999
1483229820,969.93,969.98,969.91,969.91,787.28436244
1483229880,969.98,969.98,969.9,969.9,2380.3954196
1483229940,969.9,969.9,969.9,969.9,116.38799999999999
1483230000,970.09,970.77,969.94,969.96,758.97269179
1483230060,970.73,970.73,970.03,970.71,1041.6954361
1483230120,970.64,970.64,970.64,970.64,279.0881192
1483230180,970.68,970.7,970.22,970.22,10691.992016
1483230240,970.73,970.77,970.73,970.77,1385.1778363
1483230300,970.77,971.37,970.58,970.75,6220.387550399999
1483230360,971.14,971.36,971.02,971.36,1935.0041735
1483230420,971.36,971.36,971.36,971.36,1490.2857674000002
1483230480,971.18,971.18,971.01,971.02,1991.7287327
1483230540,971.02,971.02,970.7,970.7,977.75258238
1483230600,971.08,971.26,971.08,971.26,2719.1485365
1483230660,970.89,970.9,970.89,970.9,1197.8396758
1483230720,970.9,970.9,970.88,970.88,1166.9475308
1483230780,970.9,970.9,970.88,970.88,1166.9475308
1483230840,970.9,970.9,970.9,970.9,2314.470256
1483230900,970.9,970.9,970.9,970.9,58.254
1483230960,970.89,970.9,970.89,970.9,2635.1397667
1483231020,970.89,970.9,970.89,970.9,2635.1397667
1483231080,970.89,970.9,970.89,970.9,2635.1397667
1483231140,970.89,971.24,970.89,971.24,4927.252701899999
1483231200,971.21,971.38,970.89,970.89,2664.5773169
1483231260,971.29,971.37,971.29,971.37,145.696676
1483231320,971.38,971.99,971.12,971.16,4639.8941647
1483231380,971.65,971.82,971.61,971.82,5037.014499600001
1483231440,971.8,971.82,971.8,971.82,4859.0714
1483231500,971.82,971.82,971.82,971.82,4859.1
1483231560,971.81,971.82,971.81,971.82,2678.8490846
1483231620,971.81,971.82,971.81,971.82,880.4770382000002
1483231680,971.67,971.82,971.67,971.82,47.3452254
1483231740,971.47,971.47,971.47,971.47,606.9841707
1483231800,971.48,971.48,971.47,971.47,4983.6436
